APH_Quarter,APH_Number of offers,APH_Average announced price in €,APH_Average announced price per squared meter in €,APH_Year
Beggen,74,588378,3515,2009
Belair,57,1041097,4878,2009
Bonnevoie,242,559968,3430,2009
Cents,19,550398.0994,3151.59615,2009
Cessange,29,550398.0994,3151.59615,2009
Clausen,24,550398.0994,3151.59615,2009
Dommeldange,104,701076,3770,2009
Eich,20,550398.0994,3151.59615,2009
Gare,3,550398.0994,3151.59615,2009
Gasperich,106,569311,3733,2009
Grund,4,550398.0994,3151.59615,2009
Hamm,50,512480,3509,2009
Hollerich,42,558238,3382,2009
Kirchberg,17,550398.0994,3151.59615,2009
Limpertsberg,51,994069,5002,2009
Merl,100,672410,3964,2009
M?henbach,20,550398.0994,3151.59615,2009
Neudorf,73,711915,4352,2009
Pfaffenthal,5,550398.0994,3151.59615,2009
Pulverm?le,12,550398.0994,3151.59615,2009
Rollingergrund,115,586452,3563,2009
Ville-Haute,172,714843,3875,2009
Weimerskirch,66,618258,3785,2009
Beggen,96,618539,3761,2010
Belair,35,1101143,5033,2010
Bonnevoie,157,629439,3881,2010
Cents,36,790000,4447,2010
Cessange,40,737503,3818,2010
Clausen,11,569216,3251,2010
Dommeldange,55,730088,3909,2010
Eich,8,569216,3251,2010
Gare,17,569216,3251,2010
Gasperich,89,630365,4003,2010
Grund,10,569216,3251,2010
Hamm,20,569216,3251,2010
Hollerich,31,548613,3341,2010
Kirchberg,50,850671,4390,2010
Limpertsberg,44,993409,4577,2010
Merl,70,736514,3777,2010
M?henbach,13,569216,3251,2010
Neudorf,64,596017,3751,2010
Pfaffenthal,5,569216,3251,2010
Pulverm?le,14,569216,3251,2010
Rollingergrund,58,624981,3541,2010
Ville-Haute,88,675260,4109,2010
Weimerskirch,72,646097,4088,2010
Beggen,76,639310,3873,2011
Belair,62,1083113,5393,2011
Bonnevoie,172,641070,3871,2011
Cents,70,900443,4638,2011
Cessange,156,808286,5149,2011
Clausen,5,597784.7117,3375.088978,2011
Dommeldange,34,731002,4169,2011
Eich,22,597784.7117,3375.088978,2011
Gare,28,597784.7117,3375.088978,2011
Gasperich,46,668685,4171,2011
Grund,24,597784.7117,3375.088978,2011
Hamm,5,597784.7117,3375.088978,2011
Hollerich,8,597784.7117,3375.088978,2011
Kirchberg,74,885659,4689,2011
Limpertsberg,49,1133735,5543,2011
Merl,36,994917,4524,2011
M?henbach,12,597784.7117,3375.088978,2011
Neudorf,56,785409,4285,2011
Pfaffenthal,10,597784.7117,3375.088978,2011
Pulverm?le,12,597784.7117,3375.088978,2011
Rollingergrund,44,682468,3655,2011
Ville-Haute,92,937946,4640,2011
Weimerskirch,103,658699,3973,2011
Beggen,26,688769.2308,3896.123184,2012
