ARA_Quarter,ARA_Number of offers,ARA_Average announced rent in €,ARA_Average announced rent per squared meter in €,ARA_Year
Beggen,231,1202,15.19,2009
Belair,887,1408,16.96,2009
Bonnevoie,573,1019,15.97,2009
Cents,169,1454,16.75,2009
Cessange,88,1115,14.4,2009
Clausen,21,1128.388982,15.08278034,2009
Dommeldange,73,1288,14.45,2009
Eich,44,1214,16.93,2009
Gare,835,1090,18.91,2009
Gasperich,186,1217,15.66,2009
Grund,19,1128.388982,15.08278034,2009
Hamm,26,1128.388982,15.08278034,2009
Hollerich,139,979,17.58,2009
Kirchberg,561,1491,17.47,2009
Limpertsberg,873,1305,18.71,2009
Merl,369,1243,16.16,2009
M?henbach,78,1377,16.86,2009
Neudorf,264,1378,18.08,2009
Pfaffenthal,9,1128.388982,15.08278034,2009
Pulverm?le,17,1128.388982,15.08278034,2009
Rollingergrund,84,1127,15.78,2009
Ville-Haute,822,1306,18.83,2009
Weimerskirch,59,1318,16.16,2009
Beggen,324,1093,15.84,2010
Belair,973,1286,16.51,2010
Bonnevoie,641,1031,15.94,2010
Cents,256,1503,17.21,2010
Cessange,136,1163,15.69,2010
Clausen,55,1130,16.62,2010
Dommeldange,101,1298,15.22,2010
Eich,83,1231,17.56,2010
Gare,824,981,18.97,2010
Gasperich,234,1172,16.24,2010
Grund,42,1131,18.44,2010
Hamm,29,1116,15.18,2010
Hollerich,152,980,17.58,2010
Kirchberg,546,1497,17.33,2010
Limpertsberg,1024,1313,18.58,2010
Merl,472,1159,16.81,2010
M?henbach,63,1284,15.76,2010
Neudorf,226,1324,17.45,2010
Pfaffenthal,9,1116,15.18,2010
Pulverm?le,16,1116,15.18,2010
Rollingergrund,115,1090,16.33,2010
Ville-Haute,1013,1262,18.44,2010
Weimerskirch,39,1218,15.66,2010
Beggen,196,1284,16.42,2011
Belair,852,1488,17.58,2011
Bonnevoie,541,1072,16.95,2011
Cents,191,1487,17.63,2011
Cessange,85,1155,15.5,2011
Clausen,120,1083,17.54,2011
Dommeldange,75,1382,16.8,2011
Eich,93,1202,18.83,2011
Gare,736,1053,19.46,2011
Gasperich,151,1092,16.33,2011
Grund,23,1167.508873,15.95733781,2011
Hamm,45,1109,16.58,2011
Hollerich,191,996,18.58,2011
Kirchberg,437,1479,18.2,2011
Limpertsberg,815,1472,20.03,2011
Merl,361,1324,17.57,2011
M?henbach,21,1167.508873,15.95733781,2011
Neudorf,254,1332,20.41,2011
Pfaffenthal,9,1167.508873,15.95733781,2011
Pulverm?le,15,1167.508873,15.95733781,2011
Rollingergrund,93,1202,17.18,2011
Ville-Haute,1010,1360,19.9,2011
Weimerskirch,103,1429,17.25,2011
Beggen,107,1261,17.02,2012
Belair,426,1447,17.97,2012
Bonnevoie,286,1148,17.18,2012
Cents,117,1598,16.88,2012
Cessange,63,1245,16.37,2012
Clausen,88,1113,18.2,2012
Dommeldange,30,1938,18.65,2012
Eich,47,1211,19.07,2012
Gare,295,1060,20.39,2012
Gasperich,69,1126,16.19,2012
Grund,16,1157.364015,16.30148999,2012
Hamm,23,1157.364015,16.30148999,2012
Hollerich,85,1138,18.04,2012
Kirchberg,323,1592,19.12,2012
Limpertsberg,480,1454,20.84,2012
Merl,190,1301,18.22,2012
M?henbach,24,1157.364015,16.30148999,2012
Neudorf,178,1401,20.15,2012
Pfaffenthal,4,1157.364015,16.30148999,2012
Pulverm?le,3,1157.364015,16.30148999,2012
Rollingergrund,35,1115,19.25,2012
Ville-Haute,202,1350,20.04,2012
Weimerskirch,52,1379,17.36,2012
Beggen,65,1186,19.24,2013
Belair,280,1442,19.73,2013
Bonnevoie,183,1179,19.29,2013
Cents,122,1648,20.24,2013
Cessange,47,1253,17.36,2013
Clausen,49,1189,19.46,2013
Dommeldange,67,1974,20.75,2013
Eich,32,1246,20.41,2013
Gare,243,1134,23.51,2013
Gasperich,47,1094,21.07,2013
Grund,8,1199.683197,17.45059193,2013
Hamm,16,1199.683197,17.45059193,2013
Hollerich,52,1256,18.81,2013
Kirchberg,211,1677,20.69,2013
Limpertsberg,315,1766,23.43,2013
Merl,133,1354,20.84,2013
M?henbach,27,1199.683197,17.45059193,2013
Neudorf,72,1450,21.31,2013
Pfaffenthal,2,1199.683197,17.45059193,2013
Pulverm?le,3,1199.683197,17.45059193,2013
Rollingergrund,25,1199.683197,17.45059193,2013
Ville-Haute,159,1472,22.75,2013
Weimerskirch,28,1199.683197,17.45059193,2013
Beggen,72,1158.194444,19.5921337,2014
Belair,233,1520.150215,21.27674284,2014
Bonnevoie,165,1177.818182,19.41414278,2014
Cents,72,1655.416667,20.50540221,2014
Cessange,66,1423.409091,20.79506806,2014
Clausen,46,1292.565217,20.04544205,2014
Dommeldange,37,1661.351351,22.94581038,2014
Eich,29,1206.897741,18.36002855,2014
Gare,225,1137.577778,24.9300626,2014
Gasperich,43,1008.023256,22.2240437,2014
Grund,8,1206.897741,18.36002855,2014
Hamm,12,1206.897741,18.36002855,2014
Hollerich,34,1156.911765,22.37033175,2014
Kirchberg,116,1755.689655,23.98394307,2014
Limpertsberg,264,1587.537879,23.38889716,2014
Merl,178,1541.825843,22.1954266,2014
M?henbach,16,1206.897741,18.36002855,2014
Neudorf,62,1285.241935,21.98492762,2014
Pfaffenthal,0,1206.897741,18.36002855,2014
Pulverm?le,3,1206.897741,18.36002855,2014
Rollingergrund,20,1206.897741,18.36002855,2014
Ville-Haute,165,1802.939394,25.9978757,2014
Weimerskirch,36,1533.888889,19.07115327,2014
Beggen,73,1319.589041,20.409539,2015
Belair,330,1653.227273,22.488236,2015
Bonnevoie,259,1278.853282,20.31249026,2015
Cents,58,1542.241379,19.92725388,2015
Cessange,160,1460.15625,21.06132474,2015
