Commune,Number of sales,Average registered price per squared meter in Euros,MinPriceSM,MaxPriceSM,ARPsm_VEPA,MinPriceSM_VEPA,MaxPriceSM_VEPA,Year
Beaufort,3,3488.124,2301,4852,4264.941,2894,6203,2009
Bech,0,3488.124,2301,4852,4264.941,2894,6203,2009
Beckerich,3,3488.124,2301,4852,4264.941,2894,6203,2009
Berdorf,3,3488.124,2301,4852,4264.941,2894,6203,2009
Bertrange,27,4050.639,2478,5653,5224.182,4027,5745,2009
Bettembourg,32,3542.597,2760,4428,4264.941,2894,6203,2009
Bettendorf,3,3488.124,2301,4852,4264.941,2894,6203,2009
Betzdorf,7,3488.124,2301,4852,4264.941,2894,6203,2009
Bissen,11,3254.024,2618,3657,4264.941,2894,6203,2009
Biwer,1,3488.124,2301,4852,4264.941,2894,6203,2009
Boevange-sur-Attert,2,3488.124,2301,4852,4264.941,2894,6203,2009
Boulaide,2,3488.124,2301,4852,4264.941,2894,6203,2009
Bourscheid,0,3488.124,2301,4852,4264.941,2894,6203,2009
Bous,3,3488.124,2301,4852,4264.941,2894,6203,2009
Clervaux,12,2922.786,2048,3629,4264.941,2894,6203,2009
Colmar-Berg,14,3243.431,2295,3705,3412.167,2659,3859,2009
Consdorf,4,3488.124,2301,4852,4264.941,2894,6203,2009
Contern,13,3577.672,2393,5612,4264.941,2894,6203,2009
Dalheim,7,3488.124,2301,4852,4264.941,2894,6203,2009
Diekirch,26,3254.674,1876,4545,4264.941,2894,6203,2009
Differdange,149,3197.405,2157,4114,3576.627,2730,4513,2009
Dippach,23,3022.317,1586,4014,4264.941,2894,6203,2009
Dudelange,111,3264.304,2315,4180,4300.076,3362,5213,2009
Echternach,23,3201.468,2105,4401,4264.941,2894,6203,2009
Ell,6,3488.124,2301,4852,4264.941,2894,6203,2009
Erpeldange,5,3488.124,2301,4852,3851.223,2888,5035,2009
Esch-sur-Alzette,145,3145.165,2231,4129,4152.841,3390,5081,2009
Esch-sur-S?e,0,3488.124,2301,4852,4264.941,2894,6203,2009
Eschweiler,4,3488.124,2301,4852,4264.941,2894,6203,2009
Ettelbruck,37,3117.347,2252,4010,3807.797,2966,4911,2009
Feulen,1,3488.124,2301,4852,4264.941,2894,6203,2009
Fischbach,9,3488.124,2301,4852,4264.941,2894,6203,2009
Flaxweiler,0,3488.124,2301,4852,4264.941,2894,6203,2009
Frisange,30,3365.476,2273,4304,4264.941,2894,6203,2009
Garnich,2,3488.124,2301,4852,4264.941,2894,6203,2009
Goesdorf,3,3488.124,2301,4852,4264.941,2894,6203,2009
Grevenmacher,28,3174.88,1984,4149,3954.671,2972,4907,2009
Grosbous,1,3488.124,2301,4852,4264.941,2894,6203,2009
Heffingen,3,3488.124,2301,4852,4264.941,2894,6203,2009
Hesperange,103,3793.039,2772,4858,4316.986,3525,5437,2009
Hobscheid,15,3440.977,2644,4510,4264.941,2894,6203,2009
Junglinster,19,3759.141,2852,4487,4542.026,3445,5065,2009
Kaerjeng,45,3202.215,2269,3966,3935.386,2777,4631,2009
Kayl,61,3245.489,2167,4040,3678.271,2621,4266,2009
Kehlen,13,3067.42,1838,4216,4264.941,2894,6203,2009
Kiischpelt,0,3488.124,2301,4852,4264.941,2894,6203,2009
Koerich,4,3488.124,2301,4852,4264.941,2894,6203,2009
Kopstal,6,3488.124,2301,4852,4264.941,2894,6203,2009
Lac de la Haute-S?e,0,3488.124,2301,4852,4264.941,2894,6203,2009
Larochette,8,3488.124,2301,4852,4264.941,2894,6203,2009
Lenningen,6,3488.124,2301,4852,4264.941,2894,6203,2009
Leudelange,12,4316.903,3089,5212,4264.941,2894,6203,2009
Lintgen,10,3587.539,2753,3889,4264.941,2894,6203,2009
Lorentzweiler,12,3831.168,2646,4898,4431.109,3285,5691,2009
Luxembourg City,415,4060.211,2595,5695,5447.773,3889,7551,2009
Mamer,19,3635.166,2311,4926,4455.12,3293,5219,2009
Manternach,1,3488.124,2301,4852,4264.941,2894,6203,2009
Mersch,32,3312.248,2430,4526,3559.024,2843,4286,2009
Mertert,12,3199.788,2110,4063,3885.649,3111,4588,2009
