Commune,Number of sales,Average registered price per squared meter in €,MinPriceSM,MaxPriceSM,Year,,,,,,,,,,,
Beaufort,3,3488.124,2301,4852,2009,,,,,,,,,,,
Bech,0,3488.124,2301,4852,2009,,,,,,,,,,,
Beckerich,3,3488.124,2301,4852,2009,,,,,,,,,,,
Berdorf,3,3488.124,2301,4852,2009,,,,,,,,,,,
Bertrange,27,4050.6390000000001,2478,5653,2009,,,,,,,,,,,
Bettembourg,32,3542.5970000000002,2760,4428,2009,,,,,,,,,,,
Bettendorf,3,3488.124,2301,4852,2009,,,,,,,,,,,
Betzdorf,7,3488.124,2301,4852,2009,,,,,,,,,,,
Bissen,11,3254.0239999999999,2618,3657,2009,,,,,,,,,,,
Biwer,1,3488.124,2301,4852,2009,,,,,,,,,,,
Boevange-sur-Attert,2,3488.124,2301,4852,2009,,,,,,,,,,,
Boulaide,2,3488.124,2301,4852,2009,,,,,,,,,,,
Bourscheid,0,3488.124,2301,4852,2009,,,,,,,,,,,
Bous,3,3488.124,2301,4852,2009,,,,,,,,,,,
Clervaux,12,2922.7860000000001,2048,3629,2009,,,,,,,,,,,
Colmar-Berg,14,3243.431,2295,3705,2009,,,,,,,,,,,
Consdorf,4,3488.124,2301,4852,2009,,,,,,,,,,,
Contern,13,3577.672,2393,5612,2009,,,,,,,,,,,
Dalheim,7,3488.124,2301,4852,2009,,,,,,,,,,,
Diekirch,26,3254.674,1876,4545,2009,,,,,,,,,,,
Differdange,149,3197.4050000000002,2157,4114,2009,,,,,,,,,,,
Dippach,23,3022.317,1586,4014,2009,,,,,,,,,,,
Dudelange,111,3264.3040000000001,2315,4180,2009,,,,,,,,,,,
Echternach,23,3201.4679999999998,2105,4401,2009,,,,,,,,,,,
Ell,6,3488.124,2301,4852,2009,,,,,,,,,,,
Erpeldange,5,3488.124,2301,4852,2009,,,,,,,,,,,
Esch-sur-Alzette,145,3145.165,2231,4129,2009,,,,,,,,,,,
Esch-sur-Sûre,0,3488.124,2301,4852,2009,,,,,,,,,,,
Eschweiler,4,3488.124,2301,4852,2009,,,,,,,,,,,
Ettelbruck,37,3117.3470000000002,2252,4010,2009,,,,,,,,,,,
Feulen,1,3488.124,2301,4852,2009,,,,,,,,,,,
Fischbach,9,3488.124,2301,4852,2009,,,,,,,,,,,
Flaxweiler,0,3488.124,2301,4852,2009,,,,,,,,,,,
Frisange,30,3365.4760000000001,2273,4304,2009,,,,,,,,,,,
Garnich,2,3488.124,2301,4852,2009,,,,,,,,,,,
Goesdorf,3,3488.124,2301,4852,2009,,,,,,,,,,,
Grevenmacher,28,3174.88,1984,4149,2009,,,,,,,,,,,
Grosbous,1,3488.124,2301,4852,2009,,,,,,,,,,,
Heffingen,3,3488.124,2301,4852,2009,,,,,,,,,,,
Hesperange,103,3793.0390000000002,2772,4858,2009,,,,,,,,,,,
Hobscheid,15,3440.9769999999999,2644,4510,2009,,,,,,,,,,,
Junglinster,19,3759.1410000000001,2852,4487,2009,,,,,,,,,,,
Kaerjeng,45,3202.2150000000001,2269,3966,2009,,,,,,,,,,,
Kayl,61,3245.489,2167,4040,2009,,,,,,,,,,,
Kehlen,13,3067.42,1838,4216,2009,,,,,,,,,,,
Kiischpelt,0,3488.124,2301,4852,2009,,,,,,,,,,,
Koerich,4,3488.124,2301,4852,2009,,,,,,,,,,,
Kopstal,6,3488.124,2301,4852,2009,,,,,,,,,,,
Lac de la Haute-Sûre,0,3488.124,2301,4852,2009,,,,,,,,,,,
Larochette,8,3488.124,2301,4852,2009,,,,,,,,,,,
